brand,model,year,body_type,transmission,fuel_type,kilometers,color,seats,interior,payment_option,area,city,date_posted_category,price
Geely,Emgrand 7,2015.0,Other,Manual,Benzine,166.0,Silver,5.0,Full Leather,Cash,Agouza,Giza,Less than a day,340000
Mercedes-Benz,200,1984.0,Sedan,Automatic,Benzine,200000.0,Silver,5.0,Full Leather,Cash,Moneeb,Giza,This week,280000
Nissan,Qashqai,2021.0,SUV,Automatic,Benzine,110000.0,Burgundy,5.0,Cloth,Cash,Smoha,Alexandria,Older than a week,1020000
Volkswagen,Jetta,2009.0,Sedan,Automatic,Benzine,230000.0,Black,5.0,Full Leather,Cash,Haram,Giza,Older than a week,670000
Zeekr,7X,2025.0,SUV,Automatic,Electric,115500.0,White,5.0,Full Leather,Cash,5th Settlement,New Cairo,Older than a week,2170000
Daewoo,Racer,1994.0,Sedan,Manual,Benzine,200000.0,Silver,5.0,Full Leather,Cash,New Cairo,Cairo,Older than a week,140000
Chevrolet,Aveo,2007.0,Sedan,Manual,Benzine,164000.0,Black,4.0,Cloth,Cash,Hadayek al-Ahram,Giza,This week,310000
Kia,Rio,2004.0,Other,Manual,Benzine,390000.0,Silver,4.0,Full Leather,Cash,10th of Ramadan,Sharqia,Older than a week,2250000
Fiat,127,1986.0,Hatchback,Manual,Benzine,1.0,Burgundy,4.0,Other,Cash,Matareya,Cairo,Older than a week,50000
Suzuki,Maruti,2013.0,Hatchback,Manual,Benzine,59000.0,Silver,5.0,Full Leather,Cash,Bolkly,Alexandria,This week,195000
Mercedes-Benz,CLA 200,2026.0,Sedan,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash,5th Settlement,New Cairo,This week,3100000
Renault,Logan,2016.0,Sedan,Automatic,Benzine,148000.0,Silver,5.0,Full Leather,Cash,Hadayek al-Ahram,Giza,This week,470000
Seat,Leon,2025.0,Hatchback,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Velour,Cash or Installment,New Cairo,Cairo,This week,1485000
Nissan,Sentra,2020.0,Sedan,Automatic,Benzine,175000.0,Gold,5.0,Full Leather,Cash,1st Settlement,New Cairo,This week,730000
Nissan,Sunny,2011.0,Sedan,Automatic,Benzine,193000.0,Burgundy,5.0,Full Leather,Cash,Nasr City,Cairo,Older than a week,470000
Toyota,Land Cruiser,2023.0,4X4,Automatic,Benzine,33000.0,White,5.0,Full Leather,Cash,Beverly Hills Compound,Sheikh Zayed,This week,9500000
Mazda,3,2008.0,Sedan,Automatic,Benzine,252000.0,Black,5.0,Full Leather,Cash,Markaz al-Giza,Giza,Older than a week,450000
Chana,New Star,2019.0,Pickup,Manual,Benzine,175000.0,White,2.0,Full Leather,Cash,Al Nubariyah,Beheira,Older than a week,280000
Peugeot,3008,2019.0,Estate,Automatic,Benzine,175000.0,Red,5.0,Full Leather,Cash,Al Hadaba Al Wosta,Mokattam,This week,1100000
Daewoo,Lanos,2007.0,Sedan,Manual,Benzine,300000.0,Silver,4.0,Full Leather,Cash,Shebin al-Koum,Monufia,This week,250000
Cupra,Formentor,2023.0,SUV,Automatic,Benzine,11000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Shubra,Cairo,This week,2200000
Skoda,Kodiaq,2025.0,SUV,Automatic,Benzine,115500.0,Gray,7.0,Cloth,Cash or Installment,New Cairo,Cairo,This week,2550000
Kia,Sportage,2020.0,SUV,Automatic,Diesel,110000.0,Black,4.0,Full Leather,Cash or Installment,5th Settlement,New Cairo,Older than a week,1470000
Changan,CS55,2025.0,SUV,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash or Installment,Madinaty,Cairo,Older than a week,1270000
Mercedes-Benz,GLC 200,2021.0,Hatchback,Automatic,Benzine,51000.0,Black,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Less than a day,3500000
Volkswagen,Tiguan,2025.0,SUV,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,2575000
